年,伝票日付,品名,区分,品番,数量,BLｺｰﾄﾞ,BLｸﾞﾙｰﾌﾟ,中分類コード,類別型式,車種,年式,車台No,型式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/5/8,R/ﾊﾞﾝﾊﾟ,売上,52159-47070-A1,1,04102,4102,3000,16806-0001,プリウスα,平成24年 4月,3122612,DAA-ZVW41W-AXXEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/11/10,右ﾄﾞｱﾐﾗｰ,売上,,1,99999,0,0,,１５９,,ZAR93900007018310,93922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/23,ﾏﾌﾗ-,売上,20100-53C27,1,00066,66,140,,ラシーン,平成11年 2月,505266,RFNB14-TAWNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/3/31,F/ﾊﾞﾝﾊﾟ-,売上,62022-1FA1E,1,01102,1102,3000,16207-0047,キューブ,平成22年 1月,083211,DBA-Z12-TDUARGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/5/10,R/ﾄﾞｱﾊﾟﾈﾙASSY RH,売上,67003-75011,1,02201,2201,3000,16368-0021,ＳＡＩ,,2078815,DAA-AZK10-BEXQB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/12/11,R/ﾄﾞｱﾊﾟﾈﾙCOMP LH,売上,67550-SYY-J10ZZ,1,03201,3201,3000,,フリード,,,DBA-GB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/9,R/ﾊﾞﾝﾊﾟ-,売上,85022-3VA1B,1,04102,4102,3000,17338-0012,ノート,平成28年 3月,461449,DBA-E12-TDWARDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/9/5,F/ﾊﾞﾝﾊﾟ,売上,52119-B2740-A0,1,01102,1102,3000,16138-0019,ムーヴコンテ,平成22年 3月,0085960,DBA-L575S-GBGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/11/17,Dｱｸｼｮﾝｻﾝﾀﾞｰ(吸塵)ﾏｼﾞｯｸ,売上,DAM-053S-B,1,08116,8116,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/9,F/ﾄﾞｱﾊﾟﾈﾙASSY LH,売上,H010A-3VAMA,1,03101,3101,3000,17338-0012,ノート,平成28年 3月,461449,DBA-E12-TDWARDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/7/25,R/ﾊﾞﾝﾊﾟ,売上,52159-52590-D0,1,04102,4102,3000,,アクア,平成26年 4月,2326290,DAA-NHP10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/2/22,F/ﾊﾞﾝﾊﾟ,売上,52101-B2200-B1,1,01102,1102,3000,15235-0006,エッセ,平成18年 7月,0040001,DBA-L235S-GPGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/11/25,R/ﾄﾞｱﾊﾟﾈﾙASSY LH,売上,H210A-3VAMA,1,03201,3201,3000,17338-0012,ノート,平成27年 7月,411714,DBA-E12-TDWARDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/9,R/ﾄﾞｱﾊﾟﾈﾙASSY LH,売上,H210A-3VAMA,1,03201,3201,3000,17338-0012,ノート,平成28年 3月,461449,DBA-E12-TDWARDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/2/17,F/ﾊﾞﾝﾊﾟ,売上,52119-B5160-A3,1,01102,1102,3000,15983-0247,ハイゼット,平成27年 4月,0250427,EBD-S321V-ZMGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/1/22,F/ﾊﾞﾝﾊﾟ-,売上,04711-S5A-010ZZ,1,01102,1102,3000,12226-0003,シビックフェリオ,,1403476,CBA-ES3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/12/21,ﾊﾟﾜｽﾃﾎﾟﾝﾌﾟASSY ﾘﾋﾞﾙﾄ,売上,GR492-40P0001,1,99999,0,0,06198-0010,フェアレディＺ,平成 9年 4月,563149,E-GCZ32-JS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/9/12,R/ﾊﾞﾝﾊﾟ,売上,52159-B2570-D0,1,04102,4102,3000,16408-0017,タントエグゼ,平成25年 3月,0082444,DBA-L455S-GBGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/4/4,ﾃ-ﾙﾗﾝﾌﾟASSY RH,売上,B6550-91L60,1,04301,6309,270,06070-0251,ローレル,平成 3年 1月,203997,E-HC33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/3/17,ﾎｲﾙｷｬｯﾌﾟ,売上,42602-52120,4,01615,1615,7700,12266-0001,ヴィッツ,平成16年 3月,0035177,CBA-SCP13-AHXEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/10/7,ｱｳﾀ- ﾐﾗ-,売上,87910-68030,1,00975,6205,240,,ウィッシュ,,0033486,ANE11W-HWXQH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/6/12,ﾙ-ﾌﾍｯﾄﾞﾗｲﾆﾝｸﾞ,売上,73910-JD700,1,01281,6131,3000,,デュアリス,平成20年12月,206599,DBA-KJ10-FDRAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/11/5,ﾍｯﾄﾞﾗﾝﾌﾟﾕﾆｯﾄ LH,売上,81185-12J10,1,01311,6301,270,17281-0001,カローラフィールダー,平成24年11月,7002912,DBA-ZRE162G-AWXSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/3/3,ﾊﾞｯﾃﾘ-FB SP(75D23L),売上,SP-75D23L,2,07350,7350,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/6/12,R/ﾊﾞﾝﾊﾟ,売上,71811-72M00-26U,1,04102,4102,3000,17346-0062,ワゴンＲ,,527951,DBA-MH34S-WFXEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/9/13,R/ﾊﾞﾝﾊﾟ,売上,71811-72M00-26U,1,04102,4102,3000,17346-0062,ワゴンＲ,,527951,DBA-MH34S-WFXEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/11/14,B/ﾄﾞｱﾊﾟﾈﾙ,売上,67005-52D10,1,04206,4206,3000,17053-0397,アクア,,6502349,DAA-NHP10-AHXEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/4/21,ﾛｯｶﾊﾟﾈﾙﾓ-ﾙ LH,売上,76912-44070-B0,1,03345,6250,3000,10982-0017,イプサム,平成13年 8月,0023569,TA-ACM21W-ARSSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/2/13,F/ﾊﾞﾝﾊﾟｰ(ｼﾙﾊﾞｰ),売上,71711-85P00-Z2S,1,99999,0,0,,ワゴンＲ,,365145,DBA-MH34S-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/10/3,"ﾘﾄﾗｸﾀ,ｴﾚｸﾄﾘｶﾙﾛﾂｸ,ﾚﾌﾄ",売上,75152-57JF0,1,99999,0,0,,ＡＺ－ワゴン,,491024,MJ21S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
