年,伝票日付,品名,区分,品番,数量,BLｺｰﾄﾞ,BLｸﾞﾙｰﾌﾟ,中分類コード,類別型式,車種,年式,車台No,型式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/6/21,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,H4502-ST5-014,1,05427,5425,20,17075-0001,Ｎ　ＢＯＸ,,1058311,DBA-JF1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/11/21,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,H4502-ST5-014,1,05427,5425,20,16199-0004,ライフ,,1060699,DBA-JC1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/6/26,F/ｷｬﾘﾊﾟｰｼｰﾙｷｯﾄ,売上,260-40258,1,05406,5406,10,,フェアレディＺ,平成 9年 4月,563149,GCZ32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/9/13,ﾒﾋﾞｳｽHILOW切替ﾘﾚｰ,売上,MB7326,1,99999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/7/27,Fﾊﾟｯﾄﾞｾﾝｻ- ATE,売上,A620295,1,06468,6468,280,,Ｚ４,,WBALL32030J081439,DBA-LL20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/2/17,ﾎﾞﾝﾈｯﾄｴﾝﾄﾞﾓ-ﾙ,売上,74147-T5A-000,1,01241,6250,3000,17574-0001,フィット,,3035197,DAA-GP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/2/25,ﾎﾞﾝﾈｯﾄｴﾝﾄﾞﾓ-ﾙ,売上,74147-T5A-000,1,01241,6250,3000,17574-0001,フィット,,3035197,DAA-GP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/4/16,ﾌｨﾙﾑｱﾝﾃﾅ,売上,70313-20000-183,2,99999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/4/16,ﾌｨﾙﾑｱﾝﾃﾅ,売上,70313-20000-184,2,99999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/24,ｽﾊﾟｰｸﾌﾟﾗｸﾞ,売上,LKR7BIX-P,3,00080,80,160,16169-0020,ワゴンＲ,,619657,DBA-MH23S-WSXE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/28,ｽﾊﾟｰｸﾌﾟﾗｸﾞ,売上,LKR7BIX-P,3,00080,80,160,16363-0011,ルークス,平成23年 2月,544251,DBA-ML21S-TQAAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/4/20,ｽﾊﾟｰｸﾌﾟﾗｸﾞ,売上,LKR6AIX-P,3,00080,80,160,15622-0006,ミラ,平成19年 1月,0009762,DBA-L275S-GHMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/10/21,ｽﾊﾟｰｸﾌﾟﾗｸﾞ,売上,LKR7BIX-P,3,00080,80,160,15135-0128,スクラム,,533656,EBD-DG64V-2WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/11/8,ｽﾊﾟｰｸﾌﾟﾗｸﾞ,売上,BKR6EIX-P,3,00080,80,160,16400-0003,アクティ,,1025425,EBD-HA9-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/3/1,ｽﾊﾟｰｸﾌﾟﾗｸﾞ,売上,LKR7BIX-P,3,00080,80,160,16033-0008,パレット,,364436,DBA-MK21S-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/3/21,ｽﾊﾟｰｸﾌﾟﾗｸﾞ,売上,BKR6EIX-P,3,00080,80,160,16631-0005,アクティ,,1801967,EBD-HH5-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/3/31,ｽﾊﾟｰｸﾌﾟﾗｸﾞ,売上,LKR7BIX-P,3,00080,80,160,16169-0016,ワゴンＲ,,918170,DBA-MH23S-WFXES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/9/12,ｽﾊﾟｰｸﾌﾟﾗｸﾞ,売上,BPR5EIX-11P,3,00080,80,160,10013-0034,エブリィ,,151488,GF-DA52W-EPSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/9/15,"ﾍﾞｱﾘﾝｸﾞ,ｺﾝﾛﾂﾄﾞSTD",売上,12181-84H00-0A0,6,99999,0,0,12358-0028,ワゴンＲ,,869624,CBA-MH21S-WFBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/9/7,ﾗｯｸﾌﾞ-ﾂ DELPHI,売上,TBR3015,1,05312,5312,70,,ミニ,,SAXXNNAYCBD119842,E-XN12A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/8/17,R/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,MN-368M,1,05427,5425,20,15738-0115,ヴォクシー,平成21年11月,0265029,DBA-ZRR70W-BRXTK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/2/4,F/ﾊﾞﾝﾊﾟ-ﾓ-ﾙ,売上,62075-1A36B,1,01140,6250,3000,,デュアリス,平成20年12月,206599,DBA-KJ10-FDRAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/30,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118D013,1,05427,5425,20,15492-0013,ムーヴ,平成21年 1月,0208497,DBA-L175S-GPSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/10/25,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118D013,1,05427,5425,20,16319-0009,ミラココア,平成22年 1月,0023378,DBA-L675S-GBGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/6/8,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118D013,1,05427,5425,20,15622-0048,ミラ,平成20年 6月,2020669,DBA-L275S-GHMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/7/25,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118D013,1,05427,5425,20,15235-0006,エッセ,平成18年 7月,0040001,DBA-L235S-GPGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/1/31,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118D013,1,05427,5425,20,10394-0003,ネイキッド,平成11年11月,0002405,GH-L750S-GPGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/8/7,R/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,MN-429M,1,05427,5425,20,16053-0044,クラウン,平成23年 7月,0063663,DBA-GRS200-AETXH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/5/15,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118D013,1,05427,5425,20,16986-0002,ミライース,平成24年 5月,1096343,DBA-LA300S-GBMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/6/1,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118D013,1,05427,5425,20,15622-0048,ミラ,平成20年 6月,2020669,DBA-L275S-GHMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/6/12,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118D013,1,05427,5425,20,16138-0019,ムーヴコンテ,平成22年 3月,0085960,DBA-L575S-GBGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/5,ﾘﾚｰ,売上,4H0951253,1,99999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/24,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S022,1,05427,5425,20,16169-0020,ワゴンＲ,,619657,DBA-MH23S-WSXE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/4/9,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S022,1,05427,5425,20,16033-0008,パレット,,314436,DBA-MK21S-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/5/30,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S022,1,05427,5425,20,16169-0032,ワゴンＲ,,870333,DBA-MH23S-WSTEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/10/11,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S022,1,05427,5425,20,12358-0030,ワゴンＲ,,420316,CBA-MH21S-WFBDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/10/21,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S022,1,05427,5425,20,15135-0128,スクラム,,533656,EBD-DG64V-2WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/1/12,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,PF-9566,1,05427,5425,20,,スペーシア,,,DBA-MK32S-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/4/12,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S016,1,05427,5425,20,,ツイン,,110554,EC22S-XA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/7/10,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S022,1,05427,5425,20,,エブリィ,,281739,DA64V-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/7/20,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,MN-342,1,05427,5425,20,12351-0002,アルトラパン,,497914,CBA-HE21S-NB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/10/3,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S016,1,05427,5425,20,12664-0002,キャロル,,500560,DBA-HB24S-2WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/12/6,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S016,1,05427,5425,20,12358-0023,ワゴンＲ,,283613,CBA-MH21S-WFBDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/3/27,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S022,1,05427,5425,20,16363-0011,ルークス,平成23年 2月,544251,DBA-ML21S-TQAAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/4/1,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S022,1,05427,5425,20,16169-0016,ワゴンＲ,,918170,DBA-MH23S-WFXES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/5/27,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S023,1,05427,5425,20,17346-0036,ワゴンＲ,,941971,DBA-MH34S-WSTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/6/11,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,MN-496M,1,05427,5425,20,17346-0062,ワゴンＲ,,527951,DBA-MH34S-WFXEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/27,F/ﾃﾞｨｽｸﾊﾟｯﾄﾞｷｯﾄ,売上,V9118S022,1,05427,5425,20,15278-0006,モコ,平成22年 7月,371635,DBA-MG22S-TQAAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/10/4,F/ｽﾀﾋﾞﾗｲｻﾞｰﾘﾝｸ,売上,SL-3640-M,1,05388,5388,1800,12079-0002,アリオン,平成16年 9月,0089699,CBA-ZZT240-CEPEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/10/4,F/ｽﾀﾋﾞﾗｲｻﾞｰﾘﾝｸ,売上,SL-3640-M,1,05388,5388,1800,12079-0002,アリオン,平成16年 9月,0089699,CBA-ZZT240-CEPEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/8/17,F/ｽﾀﾋﾞﾗｲｻﾞｰﾘﾝｸ,売上,SL-T490-M,1,05388,5388,1800,15738-0115,ヴォクシー,平成21年11月,0265029,DBA-ZRR70W-BRXTK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/3/10,ﾌｧﾝﾍﾞﾙﾄ,売上,7PK1140,1,05143,5129,80,12759-0049,ノート,平成24年 2月,618092,DBA-E11-FDUARDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/7/4,ﾌｧﾝﾍﾞﾙﾄ,売上,7PK1140,1,05143,5129,80,15048-0057,キューブキュービック,平成20年 7月,132051,DBA-YGZ11-TDUARTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/11/4,ﾀｲﾐﾝｸﾞﾍﾞﾙﾄ,売上,MFMZ2004,1,00019,19,80,09001-0008,ロードスター,,100807,GF-NB6C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/5/27,ﾀｲﾐﾝｸﾞﾍﾞﾙﾄ,売上,MZSB033,1,00019,19,80,,ユーノスロードスター,,213485,E-NA6CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/10/10,ﾌｪﾝﾀﾞﾗｲﾅ RH,売上,53875-52012,1,01402,1402,3000,,ヴィッツ,平成16年 3月,0035177,SCP13-AHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/4/5,ﾌﾟﾛﾃｸﾀ-,売上,51219-30050,1,99999,0,0,12608-0070,クラウン,平成19年 5月,0066768,DBA-GRS180-AETXH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/5/1,ﾃ-ﾙﾕﾆｯﾄ ﾋﾀﾞﾘ,売上,CGC-41510,1,06311,6311,270,16631-0005,アクティ,,1801967,EBD-HH5-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/1,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2006A,1,00014,14,30,15046-0001,キューブ,平成18年11月,329237,DBA-BZ11-TDLARGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/2,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2011A,1,00014,14,30,16008-0015,デュアリス,平成21年 2月,208094,DBA-KJ10-FDRARHZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/5/24,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2011A,1,00014,14,30,16009-0016,デュアリス,平成21年 4月,204233,DBA-KNJ10-FDRNRHZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/7/20,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2011A,1,00014,14,30,15331-0039,セレナ,平成21年 7月,290785,DBA-CC25-EDRARHV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/9/21,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2012A,1,00014,14,30,15243-0010,ブルーバードシルフィ,平成21年10月,102714,DBA-KG11-BDRARGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/11/15,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2012A,1,00014,14,30,12759-0049,ノート,平成23年11月,727583,DBA-E11-FDUARDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/3/10,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2012A,1,00014,14,30,12759-0049,ノート,平成24年 2月,618092,DBA-E11-FDUARDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/3/15,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2011A,1,00014,14,30,15225-0610,ラフェスタ,平成24年 3月,306545,DBA-B30-TDRARCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/7/4,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2006A,1,00014,14,30,15048-0057,キューブキュービック,平成20年 7月,132051,DBA-YGZ11-TDUARTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/9/20,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2012A,1,00014,14,30,,ブルーバードシルフィ,平成21年10月,102714,DBA-KG11-BDRAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/3/20,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2012A,1,00014,14,30,12759-0049,ノート,平成24年 2月,618092,DBA-E11-FDUARDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/3/25,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2011A,1,00014,14,30,15225-0610,ラフェスタ,平成24年 3月,306545,DBA-B30-TDRARCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/9/12,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2011A,1,00014,14,30,17323-0003,セレナ,,061230,DAA-HC26-EDRARPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/10/31,ﾜｲﾊﾟｰﾌﾞﾚｰﾄﾞ,売上,357955427,1,99999,0,0,,フォルクスワーゲン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/4/18,F/ｼｮｯｸｱｯﾊﾟ-ﾏｳﾝﾄ RH,売上,41710-76G01,2,00140,5372,210,,ツイン,,110554,UA-EC22S-XA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/3/23,R/ｶｯﾌﾟｷｯﾄ,売上,246-62532,1,05405,5405,10,11642-0008,アルトラパン,,943024,TA-HE21S-NBSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/3/16,ﾎ-ｽｸﾘｯﾌﾟ,売上,AE921,1,08000,8000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/11/9,R/ｶｯﾌﾟｷｯﾄ,売上,246-62532,1,05405,5405,10,15634-0012,ピノ,平成19年 2月,533998,DBA-HC24S-FQAARCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/1/19,ﾍﾞﾙﾄﾃﾝｼｮﾅ-ﾍﾞｱﾘﾝｸﾞ,売上,TT1751,1,05033,5033,1100,09206-0306,プレオ,平成13年 8月,241826,GF-RA1-C5GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/1/28,ﾗｲｾﾝｽﾌﾚｰﾑ,売上,08P25-EJ5-000A,1,99999,0,0,,エリシオン,,,DBA-RR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/4/5,ﾘｱｻｽﾍﾟﾝｼｮﾝ ﾒﾝﾊﾞ- ﾌﾞﾚ,売上,52298-30040,1,99999,0,0,12608-0070,クラウン,平成19年 5月,0066768,DBA-GRS180-AETXH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/6/6,ｴｱｺﾝﾌｨﾙﾀｰ,売上,AE9Z19N619A,1,99999,0,0,,エクスプローラー,,1FM5K7F92EGA51427,ABA-1FMHK9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/8/29,ﾌｧﾝﾍﾞﾙﾄ,売上,6PK1230,1,05143,5129,80,16271-0006,ウィッシュ,平成23年 9月,0115424,DBA-ZGE20G-HPXNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/9/20,ﾌｧﾝﾍﾞﾙﾄ,売上,6PK1205T,1,05143,5129,80,,ブルーバードシルフィ,平成21年10月,102714,DBA-KG11-BDRAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/7/11,ｵｲﾙｴﾚﾒﾝﾄ HENGST,売上,H19W06,1,00012,12,30,,,,,WV2ZZZ70ZPH111738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/11/28,ﾊﾞﾙﾌﾞｶﾊﾞｰG/K,売上,SP-0054,1,00004,4,150,09206-0306,プレオ,平成13年 8月,241826,GF-RA1-C5GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/4/5,ﾘｱｻｽﾍﾟﾝｼｮﾝ ﾒﾝﾊﾞ- ﾌﾞﾚ,売上,52297-30040,1,99999,0,0,12608-0070,クラウン,平成19年 5月,0066768,DBA-GRS180-AETXH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/5/19,ｸﾘ-ﾝﾌｨﾙﾀ- ｴｱｸﾘｨ-ｽﾞp,売上,CN-2002A,1,00014,14,30,12304-0105,エクストレイル,,210763,CBA-NT30-TDANRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/5/28,ｸﾘｰﾝﾌｨﾙﾀｰ,売上,CN-2002A,1,00014,14,30,12304-0105,エクストレイル,平成18年 5月,210763,CBA-NT30-TDANRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/20,F/ｽﾀﾋﾞﾗｲｻﾞｰﾘﾝｸ,売上,SL-T020-M,1,05388,5388,1800,15009-0025,ヴィッツ,平成20年 1月,2048511,DBA-KSP90-AHXNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/20,F/ｽﾀﾋﾞﾗｲｻﾞｰﾘﾝｸ,売上,SL-T020-M,1,05388,5388,1800,15009-0025,ヴィッツ,平成20年 1月,2048511,DBA-KSP90-AHXNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2015/12/17,ﾊﾞｯﾃﾘ-FB 5000(40B19L),売上,F5-40B19L,1,07350,7350,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/5/30,ﾏﾙﾁﾎｲｰﾙｶﾊﾞｰ 13ｲﾝﾁ,売上,WS089-13,1,07102,7102,7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
